gen,400#145,400#110,400#109,400#30,400#48,400#2,400#130,400#144,400#126,400#176,399#101,400#101,400#156,400#28,400#88,400#47,399#53,400#113,400#8,400#40,398#101,400#3,400#52,400#97,400#13,400#55,400#43,400#112,400#140,400#71,400#160,400#177,400#29,400#90,400#150,400#148,400#157,400#93,400#73,400#87,400#1,400#72,399#120,400#132,400#158,399#135,400#57,400#6,398#62,400#178,400#20,400#107,400#161,400#165,400#34,400#100,400#155,400#164,400#75,400#86,399#64,400#24,400#117,400#138,400#39,400#62,399#111,400#27,399#122,400#18,400#139,400#58,400#59,400#141,400#36,400#31,398#134,400#168,400#45,400#173,400#83,400#116,400#179,400#99,400#82,400#169,400#121,400#12,400#133,399#49,400#61,400#68,400#104,400#122,400#152,399#93,400#25,400#37,400#38,400#92,400#146,400#42,400#102,400#180,400#114,399#89,400#149,400#134,400#147,400#49,400#131,399#156,400#81,400#65,400#174,400#162,400#51,400#56,400#142,400#44,400#16,400#46,399#131,400#53,400#23,400#26,400#15,400#85,400#11,400#9,400#35,400#123,400#89,400#80,400#108,400#4,400#33,398#7,400#70,400#78,400#163,400#143,399#36,400#19,400#106,399#82,398#157,400#69,400#151,400#77,400#95,400#170,400#94,400#66,400#74,400#50,400#14,400#137,400#171,400#159,400#41,400#7,400#91,400#166,400#167,400#63,399#124,400#128,400#153,400#98,400#96,400#21,400#60,400#76,400#120,400#129,400#17,400#22,400#64,400#32,400#118,400#136,400#84,400#135,400#115,400#111,400#67,400#124,400#105,400#5,400#172,400#125,400#154,400#54,400#79,400#103,400#119,400#127,400#10,400#175
400,-0.41757095,-0.32058707,-0.41757095,-0.5159367,-0.32058707,-0.1309519,-0.41757095,-0.41757095,-0.9188773,-0.32058707,-0.32058707,-0.41757095,-0.41757095,-0.1309519,-0.41757095,-0.41757095,-0.6831115,0.21118781,-0.41757095,-0.41757095,-0.32058707,-0.41757095,0.21118781,-0.32058707,-1.0761611,-0.32058707,-0.32058707,0.21118781,-0.41757095,-1.0761611,-0.15941966,-0.15941966,-0.18033366,-0.41757095,-0.41757095,-0.18033366,-0.5159367,-0.41757095,-0.1309519,-0.32058707,-0.18033366,-0.32058707,-0.1309519,0.26597905,-0.41757095,-1.0761611,-0.41757095,-0.7264404,-0.32058707,-0.41757095,0.21118781,-0.41757095,-0.32058707,-0.41757095,-0.32058707,-0.32058707,-0.32058707,0.21118781,-0.1309519,-0.41757095,-0.32058707,-0.18033366,-0.32058707,-0.32058707,-0.41757095,-0.32058707,-0.32058707,-0.32058707,-0.1309519,-0.41757095,-0.32058707,-0.41757095,-0.41757095,-0.32058707,-0.41757095,-0.41757095,-1.0761611,-0.32058707,-0.32058707,-0.32058707,-0.41757095,-0.7264404,-0.7264404,-0.41757095,-0.18033366,-0.46848965,-0.41757095,-0.32058707,-0.18033366,-1.0761611,-0.32058707,-0.32058707,-0.41757095,-1.0761611,-0.41757095,-0.18033366,-0.1309519,-0.32058707,-0.32058707,-0.41757095,-0.32058707,-0.18033366,-0.32058707,-0.18033366,-0.32058707,-0.32058707,-0.32058707,-0.1309519,-0.32058707,-0.18033366,-0.41757095,-0.32058707,-0.32058707,0.21118781,-0.18033366,-0.41757095,-0.32058707,-0.41757095,-0.32058707,-0.18033366,-0.41757095,-1.0761611,-0.32058707,-0.1309519,-0.32058707,-0.32058707,-1.0761611,-0.32058707,-0.18033366,-0.1309519,-0.18033366,-0.32058707,-0.32058707,-0.32058707,-0.41757095,-0.41757095,-0.32058707,-0.41757095,-0.41757095,-0.1309519,-0.41757095,-0.41757095,-0.32058707,-0.32058707,-0.18033366,-0.41757095,-0.41757095,0.21118781,-0.18033366,-0.32058707,-0.32058707,-0.32058707,-0.32058707,-0.32058707,-0.32058707,0.26597905,-0.732821,-0.32058707,-0.1309519,-0.41757095,-0.1309519,-0.32058707,-0.32058707,-0.18033366,-0.19135706,-0.32058707,-0.15941966,-0.32058707,-0.1309519,-0.1309519,-0.32058707,-0.32058707,-0.41757095,-1.0761611,-0.32058707,-0.6060346,-0.41757095,-0.41757095,-0.41757095,-0.32058707,-0.32058707,-0.18033366,-0.46848965,-0.1309519,-0.41757095,-0.32058707,-0.32058707,-0.41757095,-0.41757095,-0.32058707,-0.32058707,-0.18033366,-0.32058707,-0.32058707,-0.32058707,-0.18033366,-0.32058707,-0.32058707,-0.59005255,-0.32058707
,1.2236375,1.0423115,1.2236375,1.0423115,1.0423115,1.0423115,1.2236375,1.2236375,1.0423115,1.0423115,1.0423115,1.2236375,1.2236375,1.0423115,1.2236375,1.2236375,1.2236375,1.0423115,1.2236375,1.2236375,1.0423115,1.2236375,1.0423115,1.0423115,1.2236375,1.0423115,1.0423115,1.0423115,1.2236375,1.2236375,1.2236375,1.2236375,1.0423115,1.2236375,1.2236375,1.0423115,1.0423115,1.2236375,1.0423115,1.0423115,1.0423115,1.0423115,1.0423115,1.1649296,1.2236375,1.2236375,1.2236375,1.2236375,1.0423115,1.2236375,1.0423115,1.5938302,1.0505708,1.2236375,1.0423115,1.0423115,1.0505708,1.0423115,1.0423115,1.2236375,1.0505708,1.0423115,1.0423115,1.0423115,1.2236375,1.0423115,1.0423115,1.0423115,1.0423115,1.2236375,1.0505708,1.2236375,1.5938302,1.0423115,1.2236375,1.5938302,1.2236375,1.0423115,1.0423115,1.0505708,1.8892434,1.2236375,1.2236375,1.2236375,1.526488,1.0423115,1.2236375,1.0423115,1.0423115,1.2236375,1.0423115,1.0423115,1.2236375,1.2236375,1.2236375,1.0423115,1.0423115,1.0423115,1.0423115,1.2236375,1.0423115,1.0423115,1.0423115,1.0423115,1.0505708,0.05717487,1.0423115,1.0423115,1.0423115,1.0423115,1.2236375,1.2236375,1.0423115,1.0423115,0.518721,1.5938302,1.0423115,1.2236375,1.0423115,1.0423115,1.2236375,1.2236375,1.0423115,1.0423115,1.0505708,1.0423115,0.9840734,1.0423115,1.0423115,1.0423115,1.0423115,1.0505708,1.0423115,1.2236375,1.2236375,1.2236375,0.05717487,1.2236375,1.8892434,1.0423115,1.2236375,1.2236375,1.0423115,1.0423115,1.0423115,1.2236375,1.2236375,1.0423115,1.0423115,1.0423115,1.0423115,1.2236375,1.0423115,1.0423115,1.0505708,1.1649296,1.0423115,1.2236375,1.0423115,1.2236375,1.0423115,1.0423115,1.2236375,1.0423115,1.0423115,1.0423115,1.2236375,1.0423115,1.0423115,1.0423115,1.0423115,1.0423115,1.2236375,1.2236375,1.0505708,1.0423115,1.2236375,1.2236375,1.2236375,1.0423115,1.0423115,0.8724649,1.0423115,1.0423115,1.2236375,1.0423115,1.0505708,1.2236375,1.2236375,1.0505708,0.054492474,1.0423115,1.0423115,1.0423115,1.0423115,1.0423115,0.9636705,1.0423115,1.0423115,1.0423115
,-0.9362254,-0.9362254,-0.9362254,-1.2107041,-0.9362254,-1.2107041,-1.0752088,-0.9362254,-0.62369645,-1.2107041,-0.9362254,-0.9362254,-0.9362254,-1.2107041,-0.9362254,-0.9362254,-0.9362254,-1.2107041,-0.9362254,-0.9362254,-1.2107041,-0.9362254,-1.2107041,-0.9362254,-1.0278937,-0.9362254,-0.9362254,-1.8128961,-0.9362254,-1.0278937,-0.9362254,-0.9362254,-0.62369645,-0.9362254,-0.9362254,-0.62369645,-1.2107041,-0.9362254,-1.2107041,-0.9362254,-0.62369645,-1.2107041,-1.2107041,-0.9362254,-0.9362254,-0.62369645,-0.9362254,-0.97757024,-0.6107135,-0.9362254,-1.2107041,-0.9362254,-0.9362254,-0.9362254,-1.2107041,-1.2107041,-0.9362254,-1.8128961,-1.2107041,-1.2107041,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-1.2107041,-0.9362254,-1.2107041,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.62369645,-0.9362254,-0.6107135,-0.9362254,-0.9362254,-0.97757024,-0.97757024,-0.9362254,-0.62369645,-0.9362254,-0.9362254,-0.9362254,-0.62369645,-1.0278937,-0.9362254,-1.2107041,-0.62369645,-0.62369645,-0.9362254,-0.62369645,-1.2107041,-0.6107135,-0.6107135,-0.62369645,-0.9362254,-0.62369645,-0.9362254,-0.62369645,-0.9362254,-0.85741615,-0.9362254,-1.2107041,-0.9362254,-0.62369645,-0.9362254,-0.9362254,-0.9362254,-1.8128961,-0.62369645,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.62369645,-0.9362254,-0.62369645,-0.6107135,-1.2107041,-0.9362254,-0.9362254,-0.62369645,-1.2107041,-0.36351746,-1.2107041,-0.62369645,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.85741615,-0.9362254,-0.9362254,-1.2107041,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.36351746,-0.9362254,-0.9362254,-1.2107041,-0.62369645,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.62369645,-0.9362254,-1.2107041,-0.9362254,-1.2107041,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-1.2107041,-1.2107041,-1.2107041,-0.9362254,-0.9362254,-1.2107041,-0.62369645,-0.9362254,-0.62369645,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-1.2107041,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.62369645,-0.9362254,-0.85741615,-0.9362254,-0.9362254,-0.9362254,-0.9362254,-0.62369645,-0.9362254,-1.2107041,-0.9362254,-1.8128961
,-0.20318791,-0.12492318,-0.20318791,-0.12492318,-0.12492318,-0.12492318,0.5407604,0.5407604,-0.20318791,-0.12492318,-0.33666763,-0.20318791,-0.12492318,-0.12492318,-0.20318791,0.5407604,0.5407604,-0.12492318,0.5407604,-0.20318791,-0.12492318,-0.20318791,-0.12492318,-0.33666763,0.3484729,-0.12492318,-0.33666763,-0.5849689,-0.20318791,0.3484729,-0.20318791,-0.20318791,-0.20318791,-0.33666763,-0.33666763,0.7021978,-0.12492318,-0.20318791,-0.12492318,-0.33666763,-0.20318791,-0.12492318,-0.12492318,-0.6513307,-0.20318791,-0.19443773,-0.20318791,-0.20318791,-0.84970975,-0.20318791,-0.12492318,-0.20318791,-0.12492318,1.4393413,-0.12492318,-0.12492318,-0.20318791,-0.5849689,-0.12492318,-0.12492318,-0.12492318,-0.20318791,-0.12492318,-0.33666763,-0.33666763,-0.12492318,-0.12492318,-0.12492318,-0.12492318,-0.20318791,0.26819435,-0.20318791,-0.20318791,-0.12492318,-0.20318791,-0.20318791,-0.19443773,-0.12492318,-0.84970975,-0.12492318,0.5407604,-0.20318791,-0.20318791,-0.20318791,-0.20318791,-0.12492318,-0.20318791,-0.12492318,1.3415811,0.3484729,-0.12492318,-0.12492318,0.5407604,0.3484729,-0.20318791,-0.20318791,-0.12492318,-0.84970975,-0.84970975,0.5407604,-0.12492318,-0.20318791,-0.33666763,-0.12492318,-0.12492318,-0.12492318,-0.12492318,-0.12492318,-0.12492318,0.5407604,-0.20318791,-0.20318791,-0.12492318,-0.5849689,-0.20318791,-0.20318791,-0.33666763,-0.20318791,-0.12492318,-0.20318791,-0.20318791,-0.19443773,-0.84970975,-0.12492318,-0.12492318,-0.12492318,0.39823595,-0.12492318,-0.73513794,-0.12492318,-0.20318791,-0.12492318,-0.12492318,-0.20318791,-0.20318791,-0.20318791,-0.12492318,-0.20318791,0.5407604,-0.12492318,-0.20318791,-0.20318791,-0.12492318,-0.12492318,-0.73513794,-0.20318791,-0.20318791,-0.12492318,-0.20318791,-0.12492318,-0.33666763,-0.20318791,-0.12492318,-0.12492318,-0.12492318,-0.6513307,0.5407604,-0.20318791,-0.12492318,-0.20318791,-0.12492318,-0.12492318,-0.20318791,-0.20318791,-0.20318791,-0.12492318,-0.20318791,-0.12492318,-0.12492318,-0.12492318,-0.33666763,-0.12492318,-0.12492318,0.3484729,0.26819435,-0.20318791,-0.20318791,-0.20318791,-0.20318791,-0.12492318,-0.12492318,-0.20318791,-0.12492318,-0.015888065,-0.20318791,-0.33666763,-0.12492318,0.5407604,0.5407604,-0.12492318,-0.12492318,-0.20318791,-0.12492318,-0.12492318,-0.12492318,-0.20318791,-0.12492318,-0.12492318,-0.12492318,-0.5849689
,0.1187132,0.84214264,0.10952606,0.84214264,0.84214264,0.84214264,0.1187132,0.1187132,0.1187132,0.84214264,1.5187767,0.10952606,0.84214264,0.84214264,0.10952606,0.1187132,0.1187132,0.84214264,0.1187132,0.10952606,0.84214264,0.10952606,0.84214264,0.1187132,1.0587662,0.84214264,1.5187767,0.84214264,0.10952606,0.9106089,0.1187132,0.1187132,0.1187132,1.518193,1.518193,0.1187132,0.84214264,0.10952606,0.84214264,0.1187132,0.1187132,0.84214264,0.84214264,0.1187132,0.10952606,0.9106089,0.10952606,0.1187132,0.4458005,0.10952606,0.84214264,0.1187132,0.84214264,0.1187132,0.84214264,0.84214264,0.1187132,0.84214264,0.84214264,0.84214264,0.84214264,0.1187132,0.84214264,1.5187767,1.518193,0.84214264,0.84214264,0.84214264,0.84214264,0.1187132,0.84214264,0.1187132,0.1187132,0.84214264,0.1187132,0.1187132,0.9106089,0.84214264,0.4458005,0.84214264,0.1187132,0.1187132,0.1187132,0.10952606,0.1187132,0.84214264,0.10952606,0.84214264,0.1187132,0.9106089,0.84214264,0.84214264,0.1187132,0.9106089,0.1187132,0.1187132,0.84214264,0.4458005,0.4458005,0.1187132,0.84214264,0.1187132,1.5187767,0.84214264,0.84214264,0.84214264,0.84214264,0.84214264,0.84214264,0.1187132,0.10952606,0.1187132,0.84214264,0.84214264,0.1187132,0.1187132,0.7636008,0.10952606,0.84214264,0.1187132,0.10952606,0.9106089,0.4458005,0.84214264,0.84214264,0.84214264,0.1187132,0.84214264,0.84214264,0.84214264,0.1187132,0.84214264,0.84214264,0.1187132,0.10952606,0.10952606,0.84214264,0.10952606,0.1187132,0.84214264,0.1187132,0.10952606,0.84214264,0.84214264,0.84214264,0.10952606,0.1187132,0.84214264,0.1187132,0.84214264,0.1187132,0.1187132,0.84214264,0.84214264,0.84214264,0.1187132,0.1187132,0.1187132,0.84214264,0.10952606,0.84214264,0.84214264,0.1187132,0.1187132,0.1187132,0.84214264,0.1187132,0.84214264,0.84214264,0.84214264,0.7636008,0.84214264,0.84214264,0.9106089,0.84214264,0.1187132,0.1187132,0.10952606,0.10952606,0.84214264,0.84214264,0.1187132,0.84214264,0.84214264,0.1187132,1.5187767,0.84214264,0.1187132,0.1187132,0.84214264,0.84214264,0.1187132,0.84214264,0.84214264,0.84214264,0.1187132,0.84214264,0.84214264,0.84214264,0.84214264
,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.0433288,-1.4201581,-1.4201581,-0.5756154,-1.4201581,-1.0433288,-1.4201581,-1.4201581,-1.4201581,-0.81406224,-0.81406224,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.0433288,-1.4201581,-1.4201581,-0.6126505,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-0.5756154,-1.4201581,-1.4201581,-1.4201581,-1.0163915,-1.4201581,-1.4201581,-0.81406224,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.0433288,-1.4201581,-0.6126505,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.0433288,-1.4201581,-1.4201581,-1.4201581,-1.5777531,-1.4201581,-1.4201581,-1.4201581,-0.6126505,-0.6126505,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.0249262,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-0.5756154,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.0433288,-0.6126505,-1.2075957,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.0433288,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-0.684975,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-1.4201581,-0.14933372
,-0.23124692,0.012769163,-0.23388484,0.012769163,0.012769163,0.012769163,-0.23124692,-0.23124692,-0.61477864,0.012769163,-0.9377989,-0.23388484,-0.9377989,0.012769163,-0.23388484,-0.23124692,-0.23124692,0.012769163,-0.23124692,-0.23388484,0.012769163,-0.23388484,0.012769163,-0.23124692,0.31413662,0.012769163,-0.9377989,-0.23124692,-0.23388484,0.31413662,-0.23124692,-0.23124692,-0.61477864,-0.9377989,-0.9377989,-0.23124692,0.012769163,-0.23388484,0.012769163,-0.23124692,-0.61477864,0.012769163,0.012769163,-0.23124692,-0.23388484,0.31413662,-0.23388484,-0.61477864,-0.9377989,-0.23388484,0.012769163,-0.23124692,-0.9377989,-0.23124692,0.012769163,0.012769163,-0.23124692,-0.23124692,0.012769163,0.012769163,-0.9377989,-0.61477864,0.012769163,-0.9377989,-0.9377989,-0.40339983,0.012769163,0.012769163,0.012769163,-0.23124692,0.012769163,-0.23124692,-0.23124692,0.012769163,-0.23124692,-0.23124692,0.31413662,0.012769163,-0.9377989,-0.9377989,-0.23124692,-0.61477864,-0.61477864,-0.23388484,-0.61477864,0.012769163,-0.23388484,0.012769163,-0.23124692,0.31413662,0.012769163,0.012769163,-0.23124692,0.31413662,-0.23124692,-0.61477864,0.012769163,-0.9377989,-0.9377989,-0.23124692,-0.40339983,-0.61477864,-0.9377989,-0.40339983,-0.9377989,-0.40339983,0.012769163,-0.2747597,0.012769163,-0.23124692,-0.23388484,0.012769163,-0.40339983,-0.23124692,-0.61477864,-0.23124692,-0.9377989,-0.23388484,-0.40339983,-0.61477864,-0.23388484,0.31413662,-0.9377989,0.012769163,-0.9377989,0.012769163,-0.30959135,0.012769163,0.012769163,0.012769163,-0.61477864,-0.9377989,-0.1160806,0.012769163,-0.23388484,-0.23388484,-0.40339983,-0.23388484,-0.23124692,0.012769163,-0.23124692,-0.23388484,-0.40339983,0.012769163,0.012769163,-0.23388484,-0.23124692,0.012769163,-0.61477864,0.012769163,-0.23124692,0.012769163,0.012769163,-0.40339983,-0.9377989,-0.23124692,-0.23124692,0.012769163,0.012769163,0.107272655,0.012769163,-0.40339983,0.012769163,-0.61477864,-0.61477864,0.012769163,-0.23124692,0.012769163,0.012769163,0.012769163,-0.9377989,0.012769163,0.012769163,0.31413662,0.012769163,-0.61477864,-0.23124692,-0.23388484,-0.23388484,0.012769163,0.012769163,-0.61477864,0.012769163,0.012769163,-0.23124692,-0.9377989,-0.9377989,-0.23124692,-0.23124692,0.012769163,-0.40339983,-0.61477864,0.012769163,-0.40339983,-0.40339983,-0.61477864,0.012769163,0.012769163,0.012769163,-0.9377989
,2.3982325,1.842267,1.7086865,1.842267,1.842267,1.1032469,1.895526,1.7086865,-0.86065876,1.842267,2.5904202,1.7086865,2.5904202,1.842267,1.7086865,1.895526,1.7086865,1.842267,1.895526,1.7086865,1.842267,1.7086865,1.842267,1.0654385,0.4821421,1.842267,2.5904202,2.3982325,1.7086865,0.4821421,1.7086865,1.7086865,-0.86065876,2.5904202,2.5904202,1.18399,1.842267,2.1545472,1.842267,1.0654385,-0.86065876,1.842267,1.842267,1.7086865,1.7086865,0.45996904,1.7086865,-0.86065876,2.5904202,1.7086865,1.842267,2.3982325,2.5904202,1.7086865,1.842267,1.842267,2.3982325,2.3982325,1.842267,1.842267,2.5904202,1.972537,1.842267,2.5904202,2.5904202,1.842267,1.842267,1.842267,1.842267,2.3982325,1.842267,1.0654385,2.3982325,1.842267,1.7086865,2.3982325,0.45996904,1.842267,2.5904202,2.5904202,1.7086865,-0.86065876,-0.86065876,1.7086865,-0.86065876,1.842267,1.7086865,1.842267,1.7086865,0.4821421,1.842267,1.842267,1.7086865,0.4821421,1.0654385,-0.86065876,2.5658205,2.5904202,2.5904202,1.7086865,1.842267,-0.86065876,2.750468,1.842267,2.5904202,1.842267,1.842267,1.842267,1.842267,1.7086865,1.7086865,1.842267,1.842267,2.3982325,-0.86065876,2.3982325,2.5904202,1.7086865,1.842267,-0.86065876,1.7086865,0.45996904,2.5904202,1.9034286,2.5904202,1.842267,-0.5207037,1.842267,1.842267,1.842267,-0.86065876,2.5904202,1.842267,1.842267,1.564843,1.7086865,1.842267,1.7086865,1.7086865,1.842267,2.3982325,1.7086865,1.842267,1.842267,1.842267,1.7086865,2.3982325,1.842267,-0.86065876,1.842267,1.0654385,1.842267,1.842267,1.842267,2.5904202,1.7086865,1.7086865,1.842267,1.9034286,1.7086865,1.842267,1.842267,1.842267,1.972537,1.972537,1.842267,1.7086865,1.842267,1.842267,1.842267,2.5904202,1.842267,1.842267,0.4821421,1.842267,-0.86065876,1.0654385,1.9025849,1.7086865,1.842267,1.842267,1.972537,1.842267,1.842267,1.7086865,2.5904202,2.5904202,1.7086865,1.7086865,1.842267,2.0136287,1.972537,1.842267,1.842267,1.842267,-0.86065876,1.842267,1.842267,1.842267,2.5904202
,-1.3506479,-1.7543536,-1.6707953,-1.6707953,-1.7543536,-1.6707953,-1.1081008,-1.3506479,-1.6432568,-1.6707953,-0.9557431,-1.3506479,-0.9557431,-1.6707953,-1.3506479,-1.1081008,-1.3506479,-1.6707953,-1.1081008,-1.3506479,-1.6707953,-1.3506479,-1.6707953,-1.3506479,-1.1504095,-1.7543536,-1.583639,-1.3506479,-1.3506479,-1.1504095,-1.3506479,-1.3506479,-1.6432568,-1.179858,-1.179858,-1.3506479,-1.6707953,-1.3506479,-1.6707953,-1.3506479,-1.6432568,-1.6707953,-1.6707953,-1.3506479,-1.3506479,-1.1504095,-1.3506479,-1.6432568,-1.179858,-1.3506479,-1.6707953,-1.3506479,-0.9557431,-1.3506479,-1.6707953,-1.6707953,-1.3506479,-1.3506479,-1.6707953,-1.6707953,-0.9557431,-1.7543536,-1.7543536,-0.9557431,-1.179858,-2.310725,-1.6707953,-1.7543536,-1.6707953,-1.3506479,-1.7543536,-1.338811,-1.3506479,-1.7543536,-1.3506479,-1.3506479,-1.1504095,-1.7543536,-1.179858,-0.9557431,-1.3506479,-1.6432568,-1.6432568,-1.3506479,-1.6432568,-1.7543536,-1.1225345,-1.7543536,-1.3506479,-1.1504095,-1.7543536,-1.6707953,-1.3506479,-1.1504095,-0.7564545,-1.6432568,-1.6707953,-1.179858,-1.179858,-1.3506479,-2.310725,-1.6432568,-0.9557431,-1.7543536,-0.9557431,-1.7543536,-1.7543536,-1.6707953,-1.7543536,-1.3506479,-1.3506479,-1.7543536,-2.310725,-1.3506479,-1.6432568,-1.3506479,-0.9557431,-1.3506479,-1.7543536,-1.6432568,-1.1225345,-1.1504095,-1.179858,-1.6707953,-0.9557431,-1.7543536,-1.3506479,-1.6707953,-1.7543536,-1.6707953,-1.6432568,-0.9557431,-1.7543536,-1.7543536,-1.3506479,-1.6707953,-1.7543536,-1.3506479,-1.3506479,-1.6707953,-1.3506479,-1.3506479,-2.310725,-1.7543536,-1.7543536,-1.3506479,-1.3506479,-1.6707953,-1.6432568,-1.7543536,-1.3506479,-0.33261395,-1.7543536,-2.310725,-0.9557431,-1.3506479,-1.3506479,-1.7543536,-1.6707953,-1.3506479,-1.6707953,-1.7543536,-1.7543536,-1.3506479,-1.3506479,-1.7543536,-1.3506479,-1.6707953,-1.6707953,-1.6707953,-0.9557431,-1.7543536,-1.6707953,-1.1504095,-1.7543536,-1.6432568,-1.3506479,-1.6707953,-1.3506479,-1.7543536,-1.7543536,-1.7543536,-1.7543536,-1.6707953,-1.3506479,-0.9557431,-0.9557431,-1.3506479,-1.3506479,-1.3506479,-1.7543536,-1.3506479,-1.7543536,-2.310725,-2.310725,-1.6432568,-1.7543536,-1.6707953,-1.7543536,-0.59321094
,-0.3352122,-0.75877196,-0.8164192,-0.8164192,-0.8164192,-0.8164192,-0.47840452,-0.3352122,-0.03745985,-0.8164192,0.8302573,-0.3352122,0.8302573,-0.8164192,-0.3352122,-0.47840452,-0.47840452,-0.8164192,-0.47840452,-0.3352122,-0.8164192,-0.3352122,-0.8164192,1.0350095,-0.3046395,-0.8164192,0.8302573,-0.3352122,-0.3352122,-0.3046395,-0.3352122,-0.3352122,-0.8164192,0.64168686,0.64168686,-0.3352122,-0.8164192,-0.3352122,-0.8164192,1.0350095,-0.03745985,-0.8164192,-0.8164192,-0.3352122,-0.3352122,-0.3046395,-0.3352122,-0.03745985,-0.3352122,-0.3352122,-0.8164192,-0.3352122,0.8302573,-0.47840452,-0.8164192,-0.8164192,-0.3352122,-0.3352122,-0.8164192,-0.8164192,0.8302573,-0.7781413,-0.8164192,0.8302573,0.64168686,0.8302573,-0.8164192,-0.8164192,-0.8164192,-0.3352122,-0.8164192,0.4237957,-0.3352122,-0.8164192,-0.3352122,-0.3352122,-0.3046395,-0.8164192,-0.3352122,0.8302573,-0.47840452,-0.03745985,-0.03745985,-0.3352122,-0.03745985,-0.8164192,-0.3352122,-0.8164192,0.6804352,-0.3046395,-0.8164192,-0.8164192,-0.3352122,0.64168686,0.20899233,-0.03745985,-0.8164192,-0.3352122,-0.26321718,-0.3352122,-0.8164192,0.6342915,0.8302573,-0.8164192,-0.8164192,-0.3686301,-0.8164192,-0.8164192,-0.8164192,-0.3352122,-0.3352122,-0.8164192,0.8302573,-0.3352122,-0.03745985,-0.3352122,0.8302573,-0.3352122,-0.8164192,-0.03745985,-0.3352122,-0.3046395,-0.3352122,-0.8164192,0.8302573,-0.8164192,0.20899233,-0.8164192,-0.8164192,-0.8164192,-0.03745985,0.8302573,-0.8164192,-0.8164192,-0.3352122,-0.8164192,-0.3686301,-0.3352122,-0.47840452,-0.8164192,-0.3352122,-0.47840452,-0.8164192,-0.8164192,-0.8164192,-0.3352122,-0.3352122,-0.8164192,-0.03745985,-0.8164192,1.0350095,-0.8164192,-0.8164192,0.8302573,0.8302573,-0.3352122,0.6804352,-0.8164192,-0.8164192,-0.3352122,-0.8164192,-0.8164192,-0.8164192,-0.3352122,-0.3352122,-0.8164192,-0.3352122,-0.8164192,-0.8164192,-0.8164192,0.8302573,-0.8164192,-0.8164192,0.64168686,-0.8164192,-0.03745985,0.20899233,-0.8164192,-0.3352122,-0.8164192,-0.8164192,-0.8164192,-0.8164192,-0.8164192,-0.3352122,0.8302573,0.8302573,-0.47840452,-0.3352122,-0.3352122,0.7291376,-0.3352122,-0.8164192,-0.8164192,0.8302573,0.6342915,-0.8164192,-0.8164192,-0.8164192,0.8302573
